coach,seasons,is_active,games,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,ties_playoff,games_superbowl,wins_superbowl,ats_pct,ats_return,ats_risked,avg_pf,avg_pa,avg_margin,avg_spread,ats_pct_home,ats_pct_away,ats_pct_playoff,ats_pct_favorite,ats_pct_underdog,ats_pct_div,ats_pct_non_div,ats_pct_bye,ats_pct_dome,ats_roi,win_pct,win_pct_playoff,teams,pfr_coach_image_url,pfr_coach_tree_hired_by,pfr_coach_tree_hired
Marvin Lewis,16,0,263.0,131.0,129.0,3,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.5238095238095238,-1.0658141036401503e-14,289.3,21.851711,21.81749,0.03422053,0.14258555,0.48,0.5669291338582677,0.0,0.48760330578512395,0.5538461538461539,0.5052631578947369,0.535031847133758,0.375,0.5,-3.684113735361736e-17,0.49809885931558934,0.0,"['{""team"" : ""CIN"", ""color"" : ""#FB4F14""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/LewiMa0c_2018.jpg,"BillBr0,CowhBi0,MarcTe0,PierAn0,SpurSt0","FrazLe0,GrudJa0,HaslJi0,JackHu0,JoseVa0,ZimmMi0"
Mike Ditka,14,0,228.0,127.0,101.0,0,7.0,12.0,6.0,6.0,0.0,1.0,1.0,0.26666666666666666,-8.100000000000001,17.6,16.25,27.125,-10.875,4.4375,0.42857142857142855,0.125,,0.25,0.2727272727272727,0.375,0.14285714285714285,0.0,0.3333333333333333,-0.46022727272727276,0.5570175438596491,0.5,"['{""team"" : ""NO"", ""color"" : ""#D3BC8D""}']",,LandTo0,"DelRJa0,DoolJi0,HughEd0,KuhlHa0,McGiDa0,RyanBu0,StanDi0,TobiVi0,VentRi0"
Dick Vermeil,15,0,240.0,126.0,114.0,0,6.0,11.0,6.0,5.0,0.0,2.0,1.0,0.5833333333333334,11.999999999999996,110.00000000000001,27.97,21.74,6.23,-2.395,0.6326530612244898,0.5319148936170213,0.3333333333333333,0.5846153846153846,0.5517241379310345,0.6052631578947368,0.5689655172413793,0.6666666666666666,0.75,0.10909090909090904,0.525,0.5454545454545454,"['{""team"" : ""KC"", ""color"" : ""#E31837""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/VermDi0c_2017.jpg,"AlleGe0,KnoxCh0,ProtTo0","BrunFr0,CampMa0,CarsBu0,CunnGu0,GanzFr0,GillSi0,HaniJi0,HughEd0,MartMi0,MazuJo0,RalsJo0,RustRo0,SaunAl0,SchoBr0,VittJo0,WhitMi0"
Jim Mora,15,0,237.0,125.0,112.0,0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.4690265486725664,-13.000000000000005,127.60000000000001,22.568966,22.646551,-0.077586204,-1.6896552,0.49122807017543857,0.44642857142857145,0.25,0.5135135135135135,0.38461538461538464,0.425531914893617,0.5,0.5,0.4098360655737705,-0.10188087774294674,0.5274261603375527,0.0,"['{""team"" : ""ATL"", ""color"" : ""#A71930""}', '{""team"" : ""IND"", ""color"" : ""#002C5F""}', '{""team"" : ""SEA"", ""color"" : ""#002244""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/MoraJi0c_2017.jpg,"MeyeRo0,PateJa0","AriaBr0,CapeDo0,FangVi0,HaslJi0,MoraJi1,VentRi0"
George Seifert,11,0,191.0,124.0,67.0,0,7.0,15.0,10.0,5.0,0.0,2.0,2.0,0.5319148936170213,0.799999999999998,52.800000000000004,20.5,22.9375,-2.4375,2.625,0.6086956521739131,0.4583333333333333,,0.5294117647058824,0.5357142857142857,0.5217391304347826,0.5416666666666666,0.5,0.2727272727272727,0.015151515151515114,0.6492146596858639,0.6666666666666666,"['{""team"" : ""CAR"", ""color"" : ""#0085CA""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/SeifGe0c_2017.jpg,WalsBi0,"CarrPe0,FishJe0,GrudJo0,HolmMi0,KubiGa0,McCoMi1,RhodRa0,ShanMi0,TresMa0,WillRi0"
Sid Gillman,18,0,234.0,123.0,104.0,7,6.0,6.0,1.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5256410256410257,0.16666666666666666,,https://www.pro-football-reference.com/req/20230307/images/headshots/GillSi0c_2017.jpg,"LandTo0,PardJa0,VermDi0","AlleGe0,BengPh0,BileEd0,FaulJa0,PetiRi0,PhilBu0,RymkLo0,ThomJo0,WallCh0,WateBo0"
Jon Gruden,15,0,239.0,122.0,117.0,0,6.0,10.0,5.0,5.0,0.0,1.0,1.0,0.4953271028037383,-12.80000000000001,244.20000000000002,21.545046,20.527027,1.018018,-0.6621622,0.5321100917431193,0.45714285714285713,0.625,0.4649122807017544,0.5353535353535354,0.524390243902439,0.4772727272727273,0.625,0.5813953488372093,-0.052416052416052454,0.5104602510460251,0.5,"['{""team"" : ""TB"", ""color"" : ""#A71930""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/GrudJo0c_2017.jpg,"HolmMi0,RhodRa0,SeifGe0","BisaRi0,BradGu0,CablTo0,CallBi0,CallBr0,GrudJa0,HackNa0,KromAa0,MariRo0,McVaSe0,MorrRa0,ShanKy0,TomlMi0,TresMa0"
George Allen,12,0,177.0,118.0,54.0,5,7.0,9.0,2.0,7.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.6666666666666666,0.2222222222222222,,https://www.pro-football-reference.com/req/20230307/images/headshots/AlleGe0c_2017.jpg,"GillSi0,HalaGe0","AustBi0,CampMa0,LevyMa0,MarcTe0,McCoMi0,McCuPe0,PateJa0,ProcRa0,SchnHo0,VermDi0,WallCh0,WaltJo0,WinnCh0"
Norv Turner,15,0,245.0,118.0,126.0,1,4.0,8.0,4.0,4.0,0.0,0.0,0.0,0.48026315789473684,-13.900000000000007,170.5,24.28387,21.987097,2.2967741,-2.387097,0.4675324675324675,0.49333333333333335,0.75,0.47,0.5098039215686274,0.4727272727272727,0.4845360824742268,0.3,0.2727272727272727,-0.08152492668621705,0.4816326530612245,0.5,"['{""team"" : ""LAC"", ""color"" : ""#007BC7""}', '{""team"" : ""LAC"", ""color"" : ""#007BC7""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}', '{""team"" : ""WAS"", ""color"" : ""#5A1414""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/TurnNo0c_2018.jpg,"ChudRo0,JohnJi0,NolaMi0,PierAn0,RileMi0,RiveRo0,RobiJo0,WannDa0,ZimmMi0","BisaRi0,CameCa0,ChudRo0,HaniJi0,KromAa0,MartMi0,NolaMi0,PagaCh0,RhodRa0,RiveRo0,RobiTe0,SteiSh0,ThomEm0,WilkSt0"
Dennis Green,13,0,219.0,117.0,102.0,0,8.0,12.0,4.0,8.0,0.0,0.0,0.0,0.44329896907216493,-16.400000000000006,108.9,21.11111,23.141415,-2.030303,-0.015151516,0.5,0.3877551020408163,0.5,0.4444444444444444,0.45098039215686275,0.4,0.47368421052631576,0.5,0.46808510638297873,-0.15059687786960518,0.5342465753424658,0.3333333333333333,"['{""team"" : ""MIN"", ""color"" : ""#4F2683""}', '{""team"" : ""ARI"", ""color"" : ""#97233F""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/GreeDe0c_2017.jpg,WalsBi0,"BillBr0,DungTo0,ThomEm0,TiceMi0"
